subject,contest,round,scenario,agent,prob,strength,effort
519qrhe6zfak,1,3,"L,L;L,L",2,100,7,70
519qrhe6zfak,2,1,"F,F;L,L",1,NA,5,NA
519qrhe6zfak,2,1,"F,F;L,L",2,NA,5,NA
519qrhe6zfak,2,2,"F,F;L,L",1,50,8,50
519qrhe6zfak,2,2,"F,F;L,L",2,50,8,50
519qrhe6zfak,2,3,"F,F;L,L",1,100,8,60
519qrhe6zfak,2,3,"F,F;L,L",2,100,8,60
519qrhe6zfak,3,1,"F,L;L,L",1,NA,5,NA
519qrhe6zfak,3,1,"F,L;L,L",2,NA,5,70
519qrhe6zfak,3,2,"F,L;L,L",1,70,7,75
519qrhe6zfak,3,2,"F,L;L,L",2,60,6,90
519qrhe6zfak,3,3,"F,L;L,L",1,100,7,50
519qrhe6zfak,3,3,"F,L;L,L",2,100,6,80
519qrhe6zfak,4,1,"F,F;F,F",1,NA,5,NA
519qrhe6zfak,4,1,"F,F;F,F",2,NA,5,NA
519qrhe6zfak,4,2,"F,F;F,F",1,60,3,NA
519qrhe6zfak,4,2,"F,F;F,F",2,60,3,NA
519qrhe6zfak,4,3,"F,F;F,F",1,25,3,NA
519qrhe6zfak,4,3,"F,F;F,F",2,25,3,NA
519qrhe6zfak,5,1,"F,L;F,L",1,NA,5,NA
519qrhe6zfak,5,1,"F,L;F,L",2,NA,5,75
519qrhe6zfak,5,2,"F,L;F,L",1,50,3,NA
519qrhe6zfak,5,2,"F,L;F,L",2,50,5,100
519qrhe6zfak,5,3,"F,L;F,L",1,60,3,100
519qrhe6zfak,5,3,"F,L;F,L",2,60,9,60
519qrhe6zfak,6,1,"F,F;F,L",1,NA,3,NA
519qrhe6zfak,6,1,"F,F;F,L",2,NA,3,NA
519qrhe6zfak,6,2,"F,F;F,L",1,40,3,NA
519qrhe6zfak,6,2,"F,F;F,L",2,40,6,80
519qrhe6zfak,6,3,"F,F;F,L",1,60,1,NA
519qrhe6zfak,6,3,"F,F;F,L",2,60,7,NA
5lhu2mn4z7fn,1,1,"F,F;F,F",1,NA,2,NA
5lhu2mn4z7fn,1,1,"F,F;F,F",2,NA,2,NA
5lhu2mn4z7fn,1,2,"F,F;F,F",1,50,3,NA
5lhu2mn4z7fn,1,2,"F,F;F,F",2,50,3,NA
5lhu2mn4z7fn,1,3,"F,F;F,F",1,25,1,NA
5lhu2mn4z7fn,1,3,"F,F;F,F",2,25,1,NA
5lhu2mn4z7fn,2,1,"F,F;L,L",1,NA,2,NA
5lhu2mn4z7fn,2,1,"F,F;L,L",2,NA,2,NA
5lhu2mn4z7fn,2,2,"F,F;L,L",1,50,5,75
5lhu2mn4z7fn,2,2,"F,F;L,L",2,50,5,75
5lhu2mn4z7fn,2,3,"F,F;L,L",1,100,5,50
5lhu2mn4z7fn,2,3,"F,F;L,L",2,100,5,50
5lhu2mn4z7fn,3,1,"L,L;L,L",1,NA,8,5
5lhu2mn4z7fn,3,1,"L,L;L,L",2,NA,8,5
5lhu2mn4z7fn,3,2,"L,L;L,L",1,75,10,5
5lhu2mn4z7fn,3,2,"L,L;L,L",2,75,10,5
5lhu2mn4z7fn,3,3,"L,L;L,L",1,100,9,100
5lhu2mn4z7fn,3,3,"L,L;L,L",2,100,9,100
5lhu2mn4z7fn,4,1,"F,F;F,L",1,NA,1,NA
5lhu2mn4z7fn,4,1,"F,F;F,L",2,NA,1,NA
5lhu2mn4z7fn,4,2,"F,F;F,L",1,50,1,NA
5lhu2mn4z7fn,4,2,"F,F;F,L",2,25,5,50
5lhu2mn4z7fn,4,3,"F,F;F,L",1,75,1,NA
5lhu2mn4z7fn,4,3,"F,F;F,L",2,75,5,NA
5lhu2mn4z7fn,5,1,"F,L;F,L",1,NA,1,NA
5lhu2mn4z7fn,5,1,"F,L;F,L",2,NA,10,50
5lhu2mn4z7fn,5,2,"F,L;F,L",1,25,1,NA
5lhu2mn4z7fn,5,2,"F,L;F,L",2,75,10,8
5lhu2mn4z7fn,5,3,"F,L;F,L",1,100,2,100
5lhu2mn4z7fn,5,3,"F,L;F,L",2,100,10,100
5lhu2mn4z7fn,6,1,"F,L;L,L",1,NA,5,NA
5lhu2mn4z7fn,6,1,"F,L;L,L",2,NA,10,100
5lhu2mn4z7fn,6,2,"F,L;L,L",1,100,5,100
5lhu2mn4z7fn,6,2,"F,L;L,L",2,25,10,100
